hashtag,video_url,username,caption,views,likes,shares
GhanaInUK,https://www.tiktok.com/@akosua_jenfua/video/7467623143939542304,akosua_jenfua,Drop your location and let’s make some new friends 😊. If you want to join the WhatsApp group just dm me. UK Only #fypviraltiktok🖤シ゚☆♡ #ghanatiktok🇬🇭 #ghanauktiktokers🇬🇭🇬🇧 #goviral #tiktokghana🇬🇭🇬🇭🇬🇭_uk🇬🇧🇬🇧🇬🇧 #contentcreator #tiktokviral #friends #ghanafuodotcom,0,260,1
GhanaInUK,https://www.tiktok.com/@miss_liverpool/video/7498014461983280406,miss_liverpool,Still got a long way to go but I believe I have done well within a period of 4months 🙏❤️#viralvideo #inkerbell #ghanatiktok🇬🇭 #uktiktok🇬🇧uk #blackafricangirl #ghanaianinuk #weightlosstransformation #weightlossjouney #weightlos,0,238,11
GhanaInUK,https://www.tiktok.com/@glamorousbeauty7/video/7002338055755517189,glamorousbeauty7,#trending #fyp#glamorousbeauty A little introduction 🥺🥰,0,808,6
GhanaInUK,https://www.tiktok.com/@djkingbizzy1/video/7278424080993275179,djkingbizzy1,#fypシ゚viral #fyp #uk #trading #ghanatiktok🇬🇭 #wedding #traditional #september,0,327K,17.6K
GhanaInUK,https://www.tiktok.com/@abigailamachapaman/video/7143209756474281221,abigailamachapaman,Replying to @Laure-Carole A #ukghanatiktok🇬🇭🇬🇭🇬🇭 #ghanaianinuk,0,30,3
GhanaInUK,https://www.tiktok.com/@akosua_jenfua/video/7471730781665135894,akosua_jenfua,If I don’t slow down someone’s son will fall oo 🤣😎 #fypシ゚viral🖤tiktok #ghanatiktok🇬🇭 #wizkid #r2bees #ghanamusic #tiktokghana🇬🇭🇬🇭🇬🇭_uk🇬🇧🇬🇧🇬🇧 #ghanafuodotcom #explore,0,280,5
GhanaInUK,https://www.tiktok.com/@raen_beauty_hub/video/7524685382550654214,raen_beauty_hub,Who else is not going for Ghana party in the park 😩😄,0,712,23
GhanaInUK,https://www.tiktok.com/@suspensussss/video/7506653656343743766,suspensussss,When Anger Speaks: The Story of a Defiant Girl#Suspensus #TrueCrimeUK #UKNews,0,30,27
GhanaInUK,https://www.tiktok.com/@ghanainu/video/7488415368147455263,ghanainu,Find out the secrets of each Akan name 👀 #fyp #relationships #ghanatiktok🇬🇭 #akannames #compatibility,0,37,15
GhanaInUK,https://www.tiktok.com/@suyagarden_/video/7527621317349330198,suyagarden_,We pride ourselves on bringing you mouth watering flavours from the grill. Various selections to pick from our menu 🔥🔥 ~ Turkey Sausage #turkeysausage #ghanianfooduk #Ghanianfood #ukghana #fooduk #suya #khebab #meat #tasteghana #londonfoodie #westafricanfood #eatghana #ghaniancuisine #ukfoodie #blackownedrestaurant #streetfood #gineafowl #sausages #ribs #privatecatering #catering #corporateevents #privatebbq #africantiktok #AfricanFood,0,526,240
GhanaInUSA,https://www.tiktok.com/@mustaphabekoe/video/7373835045544512774,mustaphabekoe,@ofcoursechallenge #ofcoursechallenge #ghanatiktokers🇬🇭🇬🇭🇬🇭,0,315,6
GhanaInUSA,https://www.tiktok.com/@ivanna_matchmaker/video/7550395047405964566,ivanna_matchmaker,#ivanna_matchmarker #foryoupage #singleandseaching #dating,0,33,0
GhanaInUSA,https://www.tiktok.com/@sapato.oumar.alma/video/7550532385482329400,sapato.oumar.alma,NSI HIN KA IRKAA GAO RA#TIKTOK #malitiktok🇲🇱 #ghanatiktok🇬🇭 #USA🇺🇸 #AFRICA,0,77,0
GhanaInUSA,https://www.tiktok.com/@nicolasnuvan/video/7493973963605888287,nicolasnuvan,Ghana in NYC🇬🇭 @BLACKO @nsuoskin,0,201.5K,7020
GhanaInUSA,https://www.tiktok.com/@miltexiabblessed/video/7354528547081293099,miltexiabblessed,I interviewed A Ghanaian Girl In The USA #ghanatiktok #viralvideos #viralvideotiktok,0,51.2K,526
GhanaInUSA,https://www.tiktok.com/@tr3nding_2/video/7526524222152199480,tr3nding_2,#fyp #foryoupage #fyppppppppppppppppppppppp,0,16.3K,1093
GhanaInUSA,https://www.tiktok.com/@ladieoftheladies_/video/7476594992291646751,ladieoftheladies_,🇬🇭🫶🏽💕,0,136,3
GhanaInUSA,https://www.tiktok.com/@theworldlywonderer/video/7549490785096437014,theworldlywonderer,Ghana is the latest African country to take in deportees from the USA #ghana #usa #westafrica #immigration #nigeria,0,59,6
GhanaInUSA,https://www.tiktok.com/@dek360ghana/video/7550085616315272504,dek360ghana,Okatakyie Afrifa [ @For-The-Records ] joins the NPP Massachusetts branch meeting in the USA. #dek360ghana #news #fyp #trending #tiktokghana🇬🇭,0,88,1
GhanaInUSA,https://www.tiktok.com/@msefah55/video/7550419605018234117,msefah55,Black sherif performance in USA 🇺🇸 700k people #fyp #fypviraltiktok🖤シ゚☆♡ #fypシ゚ #ghanatiktok🇬🇭 #tiktokghana🇬🇭,0,106,0
GhanaInUSA,https://www.tiktok.com/@houstonsgotspice/video/7393384009956461867,houstonsgotspice,"📌 Zongo: 7035 W Grand Pkwy S #90, Richmond, TX 77407 🇬🇭 Have you tried food from Ghana? Lorriet runs Zongo with the help of her family and it's SO delicious! Don't worry if it's a new experience, they're super helpful and ready to answer any questions. You can't go wrong with any of these dishes. Anything with fufu, caramelized plantains, jollof rice, and the Zongo Street Wakye platter are some of my favorites! PS. Make sure and check google for their days & hours!! #ghana #ghanaianfood #houston #houstonfood #africanfood",0,81.9K,12.3K
GhanaInUSA,https://www.tiktok.com/@supermomakos/video/7328810757531929898,supermomakos,Why get your hands full when you have your back. #africantiktok #usaghana🇬🇭🇱🇷 #tiktokghana🇬🇭 #tiktokusa🇺🇸 #interracialcouple #interracialmarriage #interracialfamily #growingoldtogether #parentingtips #parenting,0,266.2K,2640
GhanaInUSA,https://www.tiktok.com/@djnadwa/video/7545125788706721046,djnadwa,The Ghanaian community in dmv is huge!! #djtransition #ghanatiktok🇬🇭 #ghanatiktokers🇬🇭🇬🇭🇬🇭 #dmv #afrobeats,0,35.3K,1119
GhanaInUSA,https://www.tiktok.com/@mamesika10/video/7450037304787209494,mamesika10,Replying to @obaayaaserwaa4 😍😍😍😍😍#yp,0,4507,289
GhanaInUSA,https://www.tiktok.com/@factwire_studio/video/7547809708455873848,factwire_studio,#factwirestudio #fyppppppppppppppppppppppp #BonoRegion #ghanatiktok🇬🇭 #fyp #fyp #fyp,0,56,0
