hashtag,video_url,username,caption,views,likes,shares
GhanaToUKNursing,https://www.tiktok.com/@papanurse13new/video/7388900088183082273,papanurse13new,Are you a Ghanaian nurse in the UK aspiring to climb the career ladder? Then this is for you!! Watch this space for some career changing content!!! #fyp #viral #ghanatiktok🇬🇭 #trending,0,595,17
GhanaToUKNursing,https://www.tiktok.com/@obaapre1/video/7550412765324709142,obaapre1,I wish I was told this earlier…… make your decision now ( Colleagues of the most noble profession!!) #fyp #ukrn #ghanatiktok🇬🇭 #goviral #awareness,0,280,18
GhanaToUKNursing,https://www.tiktok.com/@papanurse13new/video/7545764596833914134,papanurse13new,"Let’s help you pass your OSCE, OET and CBT with ease! Tailored to suit your needs and availability. Send a message now. 5 weeks intensive virtual studies and 3 days face to face. #fyp #viralvideos #ghanatiktok🇬🇭 #nurses #trends",0,561,33
GhanaToUKNursing,https://www.tiktok.com/@obaapre1/video/7550265373413739798,obaapre1,Secure your Nursing PIN NOW!! Do leave your nursing license in your closet. #fyp #ukrn #ghanatiktok🇬🇭 #goviral #obaapre,0,38,1
GhanaToUKNursing,https://www.tiktok.com/@kanyeeti_/video/7547274220485512470,kanyeeti_,I love this era for me🤍 #selfcare #nurselife #nhsnurse #nursehumor #nursetok,0,700,12
GhanaToUKNursing,https://www.tiktok.com/@thebiznurse/video/7493825349193633029,thebiznurse,"Ghanaian Nurse in UK: NMC Registration After Top-Up Degree We explain the NMC registration process for Ghanaian nurses in the UK after a top-up degree. Learn about accreditation, program leader consultations, and career progression. #GhanaianNursesUK #NMCRregistration #NursingTopUpDegree #UKNursingJobs #InternationalNurses #UniversityOfDerby #NursingCareer #RegisteredNurse #NursingEducation #OverseasNurses",0,29,3
ghananursemigrant,https://www.tiktok.com/@nurse_antwiwaa/video/7418719754623388933,nurse_antwiwaa,"Replying to @_.queenstarrr The best time to start the process of migrating to another country as a nurse is immediately that idea comes to mind. This is because, the process of migrating to other countries is becoming more challenging and complex as time goes on. #nurse_antwiwaa #nurselife #migration #studentnursesoftiktok #ghananursesandmidwives🇬🇭 #fyp",0,118,13
ghananursemigrant,https://www.tiktok.com/@nursestunnar/video/7506899444135234838,nursestunnar,Immigrants contributes highly to every Nation. Treat them with Dignity and respect. #fyp #immigration #ghanatiktok🇬🇭 #ghanaukticktokers🇬🇭🇬🇧 #nurse #ghanacelebrities @Kwame Peprah Owusu @Sirloco @Josh Parker @Manuel Yeboah🧑‍⚕️✝️KLB @Ogyam Rhymes💛🖤💚 @Kwar_tiii_mah @_kwahuboy @~𝐌𝐬🌕𝐀𝐇𝐖𝐄𝐍𝐄𝐏𝐀👸🏻 🌍,0,55,13
ghananursemigrant,https://www.tiktok.com/@naanakhadijarn/video/7294303245864815904,naanakhadijarn,"#stitch with 
@PapaNurse13 #ghanatiktok🇬🇭#ghananurses #germannurse🇩🇪 #nursemigration",0,63,3
ghananursemigrant,https://www.tiktok.com/@naanakhadijarn/video/7271319788700339489,naanakhadijarn,#fyp #nursesoftiktok #ghananursesandmidwives🇬🇭,0,84,15
ghananursemigrant,https://www.tiktok.com/@papanurse13/video/7292595453235940613?lang=en-GB,papanurse13,No caption,0,0,0
ghananursemigrant,https://www.tiktok.com/@naanakhadijarn/video/7540042462451059990,naanakhadijarn,Careful what you sign up for as Nurses.We have the privilege of migrating in a number of Countries once you have the desire to go through the right Chanel so stop settling for less.#fyp #ghanatiktok🇬🇭 #ghananuresesandmidwives #nursing,0,213,12
ghananursemigrant,https://www.tiktok.com/@lillian.mutambo/video/7504725083462683926,lillian.mutambo,Ghanaian Tiktoker Nurse Misleading People about the UK 🇬🇧 Immigration system and immigrants from Africa living in the UK #nigeriatiktok🇳🇬🇳🇬🇳🇬 #ghanatiktok🇬🇭 #zambiantiktok🇿🇲,0,313,7
ghanauknurses,https://www.tiktok.com/@papanurse13new/video/7545764596833914134,papanurse13new,"Let’s help you pass your OSCE, OET and CBT with ease! Tailored to suit your needs and availability. Send a message now. 5 weeks intensive virtual studies and 3 days face to face. #fyp #viralvideos #ghanatiktok🇬🇭 #nurses #trends",0,561,33
ghanauknurses,https://www.tiktok.com/@lyn.nyark/video/7455984624431418656,lyn.nyark,#LIVEhighlights #TikTokLIVE #LIVE #nursing #uknurses🇬🇧 #ghananursesandmidwives🇬🇭 #ghanatiktok🇬🇭,0,116,5
ghanauknurses,https://www.tiktok.com/@obaapre1/video/7550265373413739798,obaapre1,Secure your Nursing PIN NOW!! Do leave your nursing license in your closet. #fyp #ukrn #ghanatiktok🇬🇭 #goviral #obaapre,0,38,1
ghanauknurses,https://www.tiktok.com/@inspirational_kukupak/video/7521329134971161878,inspirational_kukupak,There are shifts and there are “shits”😆😹🤭 Grateful to God for survival!🤗💃🏾🙌🏾 #fyp #nursetok #nursetiktoker #ukrn #ghanatiktok🇬🇭 #ghanaukticktokers🇬🇭🇬🇧 #uktiktok,0,287,2
ghanauknurses,https://www.tiktok.com/@de_compoundhouse/video/7461306561739230496,de_compoundhouse,#teamwork @Tomiano @Evelyn Kay❤️💍 @❤️💙bella__🦋💜 @Fiifi Dadson @Evangel ShalomSams @Owura Qwabena @Vee,0,1056,163
ghanauknurses,https://www.tiktok.com/@de_compoundhouse/video/7464885697728498977,de_compoundhouse,#🇬🇭🇬🇧👌 #ifweallightupwecanscareawaythedark #teamwork #Graceandgratitude😇🙏🏽 @Aquasi_KK @akuaboatemaaaduboahen @Vee,0,115,5
