hashtag,video_url,username,caption,views,likes,shares
ghanauknurses,https://www.tiktok.com/@nursegifty/video/7412677938686086433,nursegifty,En route to Central London ❤️🇬🇧 #uk #uktiktok #london #tiktokuk #fyp #ghanatiktok🇬🇭 #nurse #rn #shorthair,4606,337,1
ghanauknurses,https://www.tiktok.com/@jenniferlomotey85/video/7428174839027977505,jenniferlomotey85,#ghanatiktokers🇬🇭🇬🇭🇬🇭 #ghanafuo #ghanatiktok🇬🇭,340900,25300,257
ghanauknurses,https://www.tiktok.com/@scrip_tmusic__/video/7545151185725050134,scrip_tmusic__,Get you are male nurse #malenurse #ghana #rn #ukrn #ghananursesandmidwives🇬🇭,8629,1321,2
ghanauknurses,https://www.tiktok.com/@officialadjoagucci/video/7141036961782926598,officialadjoagucci,#officialadjoaguccci2017 #urfoinenurse💕💕,24600,1079,1
ghanauknurses,https://www.tiktok.com/@inspirational_kukupak/video/7521329134971161878,inspirational_kukupak,There are shifts and there are “shits”😆😹🤭 Grateful to God for survival!🤗💃🏾🙌🏾 #fyp #nursetok #nursetiktoker #ukrn #ghanatiktok🇬🇭 #ghanaukticktokers🇬🇭🇬🇧 #uktiktok,17200,287,2
ghanauknurses,https://www.tiktok.com/@manu3llax/video/7336687767562243361,manu3llax,gen-z nurses 💜 #manu3lla #manu3llax #fypシ゚viral #foryoupage #makemefamous #makemeviral #blowthisup #likes #childnursing #childnurse❤️ #childnursestudent #editme #blowthisupforme #fyppppppppppppppppppppppp #childnursingcourse #2ndyear #future #ghanatiktok🇬🇭 #speedafrobeats #views #comment #edgesonfleek #blackgirls #repost #askquestions #nursesoftiktok #nursingschool #prettylittleliars,1746,91,0
ghanauknurses,https://www.tiktok.com/@kwamevirgin9/video/7509558405736975638,kwamevirgin9,"Ghana fans ready for the match at the GTech Community Stadium in Brentford, UK 🇬🇭 ⚽️ 😃",309600,16400,1373
ghanauknurses,https://www.tiktok.com/@face_to_fame_tv/video/7545224967051316502,face_to_fame_tv,PRO for Accra regional Nurses Association crying on National Television 😭😭 #ghanatiktok🇬🇭 #uktiktok #ghanatiktokers🇬🇭🇬🇭🇬🇭 #viralvideos #aifilter,599900,9621,505
ghanauknurses,https://www.tiktok.com/@willvybez/video/7416070617914477856,willvybez,UK GHANAIAN NURSES ASSOCIATION DINNER DANCE 💃 🔥🔥🔥,1656,111,8
ghanauknurses,https://www.tiktok.com/@achieve_doctor/video/7451977075696684321,achieve_doctor,This is to motivate you thatyou can do everything with determination and staying focus#ghanaukticktokers🇬🇭🇬🇧 #thenewforce #britisharmy #britisharmy #uktiktok🇬🇧uk🍂🍁♥️🥰♥️🍁😘💫🍂 #uktiktok🇬🇧uk🍂🍁♥️🥰♥️🍁😘💫🍂 #forupage #ghanafyp #influencer #LIFEINUK,258000,26100,606
ghanauknurses,https://www.tiktok.com/@obrempong_27/video/7126041396783435014,obrempong_27,Ghana 🇬🇭 health service clothes Available 💚💙❤️‍🔥🖤❤️❣️💋🤍💞💛💛💛💛💕💕💕💕My Seamstres too never disappoints #viraltrending💪Proud #viral❤️trendingticktock #trendingviralvideo,56100,657,30
ghanauknurses,https://www.tiktok.com/@face_to_fame_tv/video/7548184254044228886,face_to_fame_tv,Ghanaian Nurses come and see your PRO changing styles 😂😂😂😂😂😂😂 #ghanatiktok🇬🇭 #ghanatiktokers🇬🇭🇬🇭🇬🇭 #uktiktok #viralvideos #aifilter,82700,1655,137
ghanauknurses,https://www.tiktok.com/@fhcuisineandmore/video/7389367791670791430,fhcuisineandmore,Dm for more enquiries and purchase Location: ksi Tafo 3miles #grocerieshaul #ukgroceriesghana,15100,110,46
ghanauknurses,https://www.tiktok.com/@naa_adoma8/video/7465653956421766405,naa_adoma8,We offer you the best you can imagine 😩❤️#christianserviceuniversity #studentnursesoftiktok🇬🇭 #uktiktok🇬🇧uk #fyppppppppppppppppppppppp #nursingstudent #universitylife,68200,4251,22
ghanauknurses,https://www.tiktok.com/@ukgroceriestoghana/video/7525919687058722070,ukgroceriestoghana,Contact us for all your groceries from Uk to Ghana #groceryhaul #ghanashipping #ghanatiktok🇬🇭 #tiktokghana🇬🇭,5950,49,12
ghanauknurses,https://www.tiktok.com/@gershonnanaboaten/video/7437074766034455863,gershonnanaboaten,#viralvideo #ukrn #uknurses #ghanatiktok🇬🇭 #awuradeay3ade3🙏🏻🙏🏻🙏🏻🙌 #awuradeadom 🙏🙏,1785,145,2
ghanauknurses,https://www.tiktok.com/@agyemang_seth_darko/video/7311075600641330438,agyemang_seth_darko,How I became a UK nurse (ALL LINKS ARE IN MY PROFILE) #CapCut #nurselife #uknmc #foryou #nurse #interview #nursing #nurselife #foryoupage,11800,356,47
ghanauknurses,https://www.tiktok.com/@spunky_gh/video/7482708466511990071,spunky_gh,#CapCut #fyp#nurse#uknurses🇬🇧 #ghnurses🇬🇭💔 #sunyaninursingtraining,62000,1812,35
ghanauknurses,https://www.tiktok.com/@nursestunnar/video/7091212704223988997,nursestunnar,OSCE TRAINING ON PAIN ASSESSMENT #fyp #osce #uknurse #ghanatiktok🇬🇭 #uktiktok @nana_ekuyah @user8617951651388,28400,532,69
ghanauknurses,https://www.tiktok.com/@cutenurse1/video/6961814770727013638,cutenurse1,#internationalnursesday #nurses #celebrities leave a comment 🤳,12200,687,3
ghanauknurses,https://www.tiktok.com/@the.latest6/video/7542142703325170966,the.latest6,#ghana #uk #news #treanding,293800,1993,177
ghanauknurses,https://www.tiktok.com/@nursejennyxo/video/7506578209719291158,nursejennyxo,Let me help you calm down 🩵 #vitals #calm #calmdown #nurselife #uknurses#virał #fyp,115000,474,8
ghanauknurses,https://www.tiktok.com/@texaswura/video/7514533209112071466,texaswura,I test created this from Google VeO 3 AI. #ghanatiktok #ghananursesandmidwives,167300,5849,1194
ghanauknurses,https://www.tiktok.com/@kafuidey7/video/7135015684907584774,kafuidey7,"What's it like to be an African nurse working in Europe? Listen to the story of Jeff, a psychiatric nurse from Ghana. #nurse #nursing #Ghana #UK #migration #braindrain #Africa #Europe",12400,274,14
ghanauknurses,https://www.tiktok.com/@kia2k21/video/7179857768218692869,kia2k21,#Ghana #Uk #nurses #NHS I dont think Ghana knows that are nurses are on strike due to poor quality of life and being over worked,68500,6409,232
ghanauknurses,https://www.tiktok.com/@alfrednharnaqwabe/video/7466191432122895621,alfrednharnaqwabe,Kumerica 💛🖤💚#ghanatiktok🇬🇭 #uknurses🇬🇧 #viral,5829,519,1
ghanauknurses,https://www.tiktok.com/@nurse_ayjhay/video/7224796859062160646,nurse_ayjhay,WE ARE ONE AND WE WON'T GIVE UP💪pls comment if you are part of this video💉🩺#nursesandmidwives #ghananurses #ghananursesandmidwives🇬🇭 #nursestiktok #healthawareness #ghananurses🌡,343900,4413,567
ghanauknurses,https://www.tiktok.com/@papanurse13new/video/7471717245358689558,papanurse13new,The help you need is right infront of you! Send a DM for OSCE/OET/NCLEX training/ support . #EliteOSCETraining #fyp #viral_video #trendingvideo #ghanatiktok🇬🇭,17200,713,65
ghanauknurses,https://www.tiktok.com/@hanny_kuks/video/7322900906482158891,hanny_kuks,Night nurse GRWM #CapCut #fypシ #fyp #fypシ゚viral #nurse #nightshift #nursesoftiktok #skincare #nighttimeskincare #uknurses🇬🇧 #uknurse #hannykuks #viralvideo #trend #skincareroutine #tiktokghana🇬🇭🇬🇭🇬🇭_uk🇬🇧🇬🇧🇬🇧,2784,77,1
ghanauknurses,https://www.tiktok.com/@papanurse13new/video/7547599281138453782,papanurse13new,Care home isn’t for the weak! Do everything you can to safeguard your hard earned PIN my dear nurses!! #fyp #viralvideos #nurses #ghanatiktok🇬🇭 #clearingdrafts,8453,411,34
ghanauknurses,https://www.tiktok.com/@thebigroom1/video/7547876511206952214,thebigroom1,ANTT in OSCE gentle trainers Ghana Uk nurse #gentleoscetrainers #nurse #osce #fyp #bigroomosce,3124,126,5
ghanauknurses,https://www.tiktok.com/@kanyeeti_/video/7547274220485512470,kanyeeti_,I love this era for me🤍 #selfcare #nurselife #nhsnurse #nursehumor #nursetok,9677,700,12
ghanauknurses,https://www.tiktok.com/@nanellegriselda/video/7231579018271690011,nanellegriselda,Watch this before Thursday 11th May #ghananursesandmidwives🇬🇭 #overseasnursesuk #ghananursesuk,9337,260,35
ghanauknurses,https://www.tiktok.com/@tiktok.pro969/video/7519512811718937887,tiktok.pro969,how do ghanain nurses handle stress.. share yours in the comments session #nursesoftiktok #nurse #ghanatiktok🇬🇭 #ghananurses #ghananursesandmidwives🇬🇭,8816,241,5
ghanauknurses,https://www.tiktok.com/@glamorousbeauty7/video/7002338055755517189,glamorousbeauty7,#trending #fyp#glamorousbeauty A little introduction 🥺🥰,17500,808,6
